id_sessao,data_sessao,dia_semana,hora_inicio,periodo_dia,tipo_local,perfil_usuario,categoria_veiculo,capacidade_bateria_kwh,bateria_inicial_pct,bateria_final_pct,variacao_bateria_pct,energia_consumida_kwh,potencia_media_kw,duracao_recarga_min,ocupacao_local_pct,fila_espera_min,tarifa_kwh_brl,custo_energia_brl,taxa_servico_brl,custo_total_brl
S156,2026-02-28,sabado,20,noite,shopping,funcionario,sedan_eletrico,51.38,27.87,58.46,30.59,15.72,36.04,26,67.24,8,2.55,40.09,6.0,46.09
S157,2026-03-14,sabado,21,noite,shopping,frotista,van_eletrica,84.3,15.77,60.55,44.78,37.75,24.81,91,96.36,17,2.55,96.26,6.0,102.26
S158,2026-03-28,sabado,18,noite,shopping,frotista,van_eletrica,119.87,12.21,48.26,36.05,43.21,29.45,88,100.0,26,2.55,110.19,6.0,116.19
S159,2026-01-08,quinta,13,tarde,eletroposto_comercial,frotista,utilitario_eletrico,94.25,34.93,74.68,39.75,37.46,44.33,51,55.23,6,2.8,104.89,7.0,111.89
S160,2026-03-14,sabado,9,manha,centro_empresarial,mensalista,suv_eletrico,79.63,19.66,43.79,24.13,19.21,41.92,27,58.57,6,2.35,45.14,5.5,50.64
S161,2026-02-21,sabado,8,manha,centro_empresarial,mensalista,suv_eletrico,88.99,56.34,100.0,43.66,38.85,31.0,75,48.17,2,2.35,91.3,5.5,96.8
S162,2026-01-25,domingo,10,manha,eletroposto_comercial,mensalista,sedan_eletrico,66.47,37.72,70.55,32.83,21.82,29.95,44,35.14,2,2.7,58.91,7.0,65.91
S163,2026-02-17,terca,2,madrugada,supermercado,visitante,suv_eletrico,81.67,20.73,63.24,42.51,34.72,39.38,53,11.44,4,1.95,67.7,4.0,71.7
S164,2026-02-17,terca,19,noite,eletroposto_comercial,frotista,compacto_eletrico,45.03,12.63,70.45,57.82,26.04,31.03,50,86.58,27,2.85,74.21,7.0,81.21
S165,2026-03-24,terca,13,tarde,eletroposto_comercial,visitante,van_eletrica,107.22,38.13,59.19,21.06,22.58,39.1,35,74.09,5,2.8,63.22,7.0,70.22
S166,2026-01-22,quinta,11,manha,supermercado,mensalista,suv_eletrico,93.6,26.54,81.69,55.15,51.62,30.58,101,47.6,0,2.15,110.98,4.0,114.98
S167,2026-01-06,terca,6,manha,centro_empresarial,visitante,suv_eletrico,84.9,36.82,95.44,58.62,49.77,44.16,68,69.23,13,2.35,116.96,5.5,122.46
S168,2026-03-18,quarta,4,madrugada,eletroposto_comercial,mensalista,utilitario_eletrico,73.11,15.06,67.5,52.44,38.34,33.08,70,14.11,5,2.5,95.85,7.0,102.85
S169,2026-02-27,sexta,23,noite,centro_empresarial,motorista_app,utilitario_eletrico,72.95,30.88,55.62,24.74,18.05,40.28,27,87.7,23,2.5,45.12,5.5,50.62
S170,2026-01-07,quarta,6,manha,centro_empresarial,funcionario,van_eletrica,80.96,36.02,74.57,38.55,31.21,37.87,49,41.54,5,2.35,73.34,5.5,78.84
S171,2026-02-26,quinta,16,tarde,shopping,funcionario,van_eletrica,81.6,33.09,73.98,40.89,33.37,26.93,74,58.58,11,2.5,83.42,6.0,89.42
S172,2026-02-21,sabado,4,madrugada,estacionamento,funcionario,compacto_eletrico,49.21,30.25,82.61,52.36,25.77,44.41,35,7.02,0,2.05,52.83,5.0,57.83
S173,2026-02-22,domingo,15,tarde,eletroposto_comercial,frotista,utilitario_eletrico,75.02,31.55,52.99,21.44,16.08,34.3,28,79.74,28,2.8,45.02,7.0,52.02
S174,2026-02-13,sexta,23,noite,centro_empresarial,visitante,sedan_eletrico,57.54,55.15,76.95,21.8,12.54,43.53,17,87.69,29,2.5,31.35,5.5,36.85
S175,2026-03-24,terca,2,madrugada,supermercado,visitante,compacto_eletrico,37.34,36.74,93.37,56.63,21.15,35.05,36,14.93,5,1.95,41.24,4.0,45.24
S176,2026-03-13,sexta,10,manha,eletroposto_comercial,visitante,compacto_eletrico,39.66,19.47,50.91,31.44,12.47,44.18,17,23.77,5,2.7,33.67,7.0,40.67
S177,2026-03-02,segunda,20,noite,shopping,motorista_app,suv_eletrico,99.28,52.11,100.0,47.89,47.55,24.92,114,93.81,32,2.55,121.25,6.0,127.25
S178,2026-01-28,quarta,13,tarde,supermercado,mensalista,utilitario_eletrico,94.01,45.24,84.56,39.32,36.96,32.5,68,60.45,14,2.25,83.16,4.0,87.16
S179,2026-01-26,segunda,8,manha,shopping,funcionario,compacto_eletrico,36.16,48.99,86.83,37.84,13.68,43.41,19,57.49,5,2.4,32.83,6.0,38.83
S180,2026-01-08,quinta,0,madrugada,supermercado,visitante,utilitario_eletrico,94.15,20.94,61.57,40.63,38.25,43.53,53,29.43,1,1.95,74.59,4.0,78.59
S181,2026-01-04,domingo,5,madrugada,estacionamento,visitante,sedan_eletrico,51.58,19.76,62.5,42.74,22.05,42.99,31,18.43,0,2.05,45.2,5.0,50.2
S182,2026-03-01,domingo,15,tarde,centro_empresarial,funcionario,suv_eletrico,88.53,53.21,100.0,46.79,41.42,30.0,83,58.62,13,2.45,101.48,5.5,106.98
S183,2026-02-12,quinta,5,madrugada,estacionamento,mensalista,van_eletrica,95.13,48.54,90.16,41.62,39.59,26.2,91,13.02,5,2.05,81.16,5.0,86.16
S184,2026-01-17,sabado,15,tarde,shopping,motorista_app,compacto_eletrico,38.43,46.1,72.85,26.75,10.28,43.54,14,60.52,9,2.5,25.7,6.0,31.7
S185,2026-03-15,domingo,2,madrugada,estacionamento,mensalista,suv_eletrico,85.25,31.83,91.62,59.79,50.97,33.18,92,16.95,3,2.05,104.49,5.0,109.49
S186,2026-03-24,terca,10,manha,eletroposto_comercial,visitante,van_eletrica,89.12,41.88,63.91,22.03,19.63,44.57,26,38.76,3,2.7,53.0,7.0,60.0
S187,2026-02-14,sabado,21,noite,supermercado,mensalista,van_eletrica,112.89,42.41,93.68,51.27,57.88,31.85,109,78.71,16,2.3,133.12,4.0,137.12
S188,2026-01-18,domingo,20,noite,centro_empresarial,motorista_app,sedan_eletrico,66.56,43.59,100.0,56.41,37.55,30.53,74,69.13,8,2.5,93.88,5.5,99.38
S189,2026-02-26,quinta,19,noite,supermercado,mensalista,compacto_eletrico,41.9,20.77,70.58,49.81,20.87,25.02,50,58.94,13,2.3,48.0,4.0,52.0
S190,2026-02-03,terca,15,tarde,shopping,motorista_app,sedan_eletrico,56.81,15.54,73.78,58.24,33.09,25.55,78,60.91,14,2.5,82.73,6.0,88.73
S191,2026-02-05,quinta,6,manha,supermercado,mensalista,compacto_eletrico,46.41,45.41,72.42,27.01,12.54,30.23,25,44.14,5,2.15,26.96,4.0,30.96
S192,2026-03-14,sabado,3,madrugada,supermercado,funcionario,sedan_eletrico,53.18,37.51,85.71,48.2,25.63,23.61,65,17.03,1,1.95,49.98,4.0,53.98
S193,2026-01-22,quinta,18,noite,estacionamento,motorista_app,compacto_eletrico,41.72,51.03,80.66,29.63,12.36,30.3,24,57.94,13,2.4,29.66,5.0,34.66
S194,2026-01-21,quarta,11,manha,supermercado,funcionario,van_eletrica,110.07,25.69,56.6,30.91,34.02,25.01,82,42.55,1,2.15,73.14,4.0,77.14
S195,2026-03-05,quinta,7,manha,eletroposto_comercial,funcionario,utilitario_eletrico,86.71,56.5,96.42,39.92,34.61,36.79,56,54.69,7,2.7,93.45,7.0,100.45
S196,2026-02-26,quinta,23,noite,estacionamento,motorista_app,suv_eletrico,97.26,49.57,88.01,38.44,37.39,23.87,94,50.71,14,2.4,89.74,5.0,94.74
S197,2026-02-22,domingo,11,manha,estacionamento,mensalista,suv_eletrico,87.05,37.61,91.07,53.46,46.54,24.5,114,34.01,2,2.25,104.72,5.0,109.72
S198,2026-01-18,domingo,19,noite,shopping,frotista,van_eletrica,114.92,54.49,87.06,32.57,37.43,31.24,72,70.06,15,2.55,95.45,6.0,101.45
S199,2026-03-15,domingo,14,tarde,centro_empresarial,frotista,suv_eletrico,86.71,24.81,51.6,26.79,23.23,26.49,53,57.32,8,2.45,56.91,5.5,62.41
S200,2026-02-26,quinta,22,noite,centro_empresarial,mensalista,compacto_eletrico,45.22,19.6,46.62,27.02,12.22,40.68,18,61.91,14,2.5,30.55,5.5,36.05
